rank,index,tier,score,hair_style,hair,eyes,suit,shirt,skin,image,seed
1067,128,Common,82.1728,Spiky,Red,Lime,Teal,Sky,Light,0128.png,21274557
1068,325,Common,82.1024,Fringe / Bangs,Pine Green,Royal Blue,Cocoa,Mint,Fair,0325.png,22834600
1069,868,Common,82.079,Long,Coral,Cyan,Black,Ivory,Olive,0868.png,27134617
1070,125,Common,82.041,Classic Cut,Sandy,Lime,Bronze,Cream,Fair,0125.png,21250800
1071,940,Common,82.0088,Long,Sandy,Ice Blue,Cocoa,Mint,Brown,0940.png,27704785
1072,544,Common,82.0042,Long,Auburn,Gold,Black,Sky,Tan,0544.png,24568861
1073,215,Common,81.978,Side Part,Sky Blue,Lime,Slate Grey,Rose,Tan,0215.png,21963510
1074,754,Common,81.9123,Long,Violet,Hot Pink,Black,Blush,Olive,0754.png,26231851
1075,810,Common,81.8649,Long,Auburn,Lime,Forest Green,Rose,Brown,0810.png,26675315
1076,1102,Common,81.745,Spiky,Chestnut,Lime,Gold,Sky,Brown,1102.png,28987663
1077,539,Common,81.5669,Classic Cut,Pine Green,Lime,Light Grey,Butter,Olive,0539.png,24529266
1078,138,Common,81.5577,Long,Orange,Lime,Black,White,Tan,0138.png,21353747
1079,176,Common,81.5459,Long,Green,Lime,Denim Blue,White,Tan,0176.png,21654669
1080,524,Common,81.4437,Classic Cut,Teal,Raspberry,Cocoa,Ivory,Porcelain,0524.png,24410481
1081,248,Common,81.401,Fringe / Bangs,Violet,Hot Pink,Bronze,Ivory,Deep Brown,0248.png,22224837
1082,246,Common,81.3958,Side Part,Pink,Periwinkle,Cocoa,Lavender,Medium,0246.png,22208999
1083,251,Common,81.3115,Buzz Cut,Sky Blue,Periwinkle,Navy,Sky,Tan,0251.png,22248594
1084,614,Common,80.9575,Spiky,Sky Blue,Raspberry,Cocoa,Rose,Medium,0614.png,25123191
1085,1018,Common,80.9505,Fringe / Bangs,Pink,Royal Blue,Cocoa,Mint,Porcelain,1018.png,28322467
1086,773,Common,80.9121,Spiky,Pine Green,Hot Pink,Cocoa,White,Porcelain,0773.png,26382312
1087,100,Common,80.8979,Fringe / Bangs,Pine Green,Hot Pink,Cocoa,White,Deep Brown,0100.png,21052825
1088,159,Common,80.8109,Classic Cut,Sky Blue,Cyan,Denim Blue,Ivory,Olive,0159.png,21520046
1089,531,Common,80.6495,Classic Cut,Violet,Lime,Navy,Sand,Porcelain,0531.png,24465914
1090,205,Common,80.6116,Side Part,Violet,Lime,Forest Green,White,Porcelain,0205.png,21884320
1091,376,Common,80.5693,Long,Sandy,Lime,Gold,Off White,Olive,0376.png,23238469
1092,242,Common,80.4661,Long,Sky Blue,Raspberry,Bronze,Ivory,Light,0242.png,22177323
1093,384,Common,80.418,Fringe / Bangs,Red,Lime,Denim Blue,Sage,Olive,0384.png,23301821
1094,741,Common,80.2488,Long,Violet,Ice Blue,Cocoa,Sky,Porcelain,0741.png,26128904
1095,389,Common,80.2009,Buzz Cut,Auburn,Ice Blue,Cocoa,Blush,Olive,0389.png,23341416
1096,445,Common,80.0717,Side Part,Chestnut,Lime,Plum,White,Tan,0445.png,23784880
1097,561,Common,80.0306,Fringe / Bangs,Teal,Lime,Bronze,Sage,Porcelain,0561.png,24703484
1098,961,Common,79.9198,Side Part,Pink,Lime,Cocoa,Cream,Deep Brown,0961.png,27871084
1099,283,Common,79.6824,Spiky,Violet,Lime,Navy,Lavender,Light,0283.png,22502002
1100,946,Common,79.6504,Classic Cut,Coral,Lime,Black,Rose,Porcelain,0946.png,27752299
1101,346,Common,79.6185,Fringe / Bangs,Pine Green,Lime,Navy,Sky,Tan,0346.png,23000899
1102,278,Common,79.0677,Fringe / Bangs,Sandy,Royal Blue,Cocoa,Off White,Olive,0278.png,22462407
1103,799,Common,78.9914,Buzz Cut,Chestnut,Lime,Deep Purple,Blush,Light,0799.png,26588206
1104,969,Common,78.8427,Spiky,Pink,Cyan,Cocoa,Blush,Tan,0969.png,27934436
1105,129,Common,78.8203,Spiky,Sky Blue,Royal Blue,Cocoa,Butter,Light,0129.png,21282476
1106,692,Common,78.5683,Long,Auburn,X Blue,Cocoa,Ivory,Brown,0692.png,25740873
1107,809,Common,78.4044,Side Part,Red,Lime,Bronze,Ivory,Olive,0809.png,26667396
1108,312,Common,78.2702,Buzz Cut,Violet,Periwinkle,Cocoa,Sky,Tan,0312.png,22731653
1109,814,Common,78.0253,Side Part,Auburn,Cyan,Cocoa,Off White,Tan,0814.png,26706991
1110,1104,Common,77.8487,Side Part,Violet,Lime,Black,Blush,Fair,1104.png,29003501
1111,671,Common,77.3325,Long,Sandy,Royal Blue,Cocoa,Ivory,Porcelain,0671.png,25574574
